name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
Tata Elxsi,3.6,2.5k,IT Services & Consulting ,Bangalore / Bengaluru,29,20.7k,322,48
DS Group,4.1,2.5k,FMCG ,Noida,264,7k,182,36
Shree Cement,3.8,2.5k,Building Material ,Beawar,244,9.4k,181,--
IKS Health,3.5,2.5k,Analytics & KPO ,Mumbai,26,10.2k,245,13
Yazaki,3.9,2.5k,Auto Components ,Pune,85,8.2k,155,5
Landmark Group,3.9,2.5k,Retail ,Bangalore / Bengaluru,161,9k,158,10
Sahrudaya Healthcare (Medicover Hospitals),4.6,2.5k,Healthcare ,Hyderabad / Secunderabad,43,3.2k,133,31
ElasticRun,3.6,2.5k,Logistics ,Pune,378,6.3k,261,18
Indus Towers,3.7,2.5k,Hardware & Networking ,Gurgaon / Gurugram,209,8.3k,203,20
VVDN Technologies,3.6,2.5k,IT Services & Consulting ,Gurgaon / Gurugram,42,12.2k,226,4
Blue Dart Express Ltd,4.0,2.5k,Logistics ,Mumbai,265,6.4k,114,12
Nestle,3.9,2.5k,FMCG ,Gurgaon / Gurugram,265,9.2k,257,22
Shell,3.9,2.5k,Oil & Gas ,Bangalore / Bengaluru,86,13.2k,216,46
